documento,chunk_id,chunk_len,pca_x,pca_y
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,219,999,0.062366232,-0.10236271
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,220,1000,-0.091839045,-0.14284936
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,221,1000,-0.1623503,-0.2130897
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,222,1000,-0.013581922,-0.21823478
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,223,1000,0.07292293,-0.25127125
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,224,1000,0.2268394,-0.26950932
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,225,1000,0.1482806,-0.28963494
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,226,1000,0.16567644,-0.25874674
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,227,999,0.054489844,-0.2325944
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,228,1000,0.063843146,-0.2537096
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,229,999,0.033061836,-0.23092304
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,230,1000,0.03169529,-0.22179182
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,231,1000,-0.013713644,-0.053302627
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,232,1000,-0.13555102,0.0076865233
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,233,999,-0.19971362,0.011694126
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,234,1000,0.07308263,-0.25799176
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,235,1000,0.29940927,-0.24946564
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,236,1000,0.30031204,-0.054085627
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,237,999,0.3620073,-0.08471447
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,238,1000,0.3620955,-0.13729812
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,239,998,0.31541178,-0.2542648
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,240,1000,0.27288967,-0.21845627
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,241,1000,0.23078895,-0.37538353
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,242,999,0.32338947,-0.2266194
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,243,999,0.31346187,-0.2997522
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,244,1000,0.36825147,-0.22613469
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,245,1000,0.26713988,-0.19932128
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,246,999,0.183596,-0.36282477
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,247,1000,0.15216826,-0.30075395
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,248,1000,0.29166052,-0.13494599
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,249,1000,-0.2354759,-0.0012449257
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,250,1000,0.15764026,-0.3029694
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,251,1000,-0.16746937,-0.13324988
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,252,1000,0.1284024,-0.13541636
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,253,999,0.22970994,-0.081310555
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,254,1000,0.09094939,-0.14328125
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,255,1000,0.07377159,-0.32116392
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,256,1000,-0.08045591,-0.037793525
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,257,1000,0.16643289,-0.11350215
